Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-04-18 09:33 (EDT),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2020-01-04 12:34 (EDT),657,122,42%,79,17.11,25.67,921,121.77,,
2020-04-19 09:49 (EDT),,,40,Cycling,,40 min 21 sec Just Ride,,171,69,37%,64,12.80,8.84,240,98.10,,
2020-04-19 10:32 (EDT),On Demand,Christine D'Ercole,10,Cycling,Low Impact,10 min Low Impact Ride,2020-03-02 11:02 (EDT),35,58,37%,56,10.59,1.76,54,94.55,,
2020-04-21 17:36 (EDT),Live,Olivia Amato,20,Cycling,Theme,20 min EDM/Electronic Dance Ride,2019-04-02 16:52 (EDT),148,123,45%,70,16.25,5.41,524,,,
2020-04-21 18:19 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,68,,,
2020-04-22 12:01 (EDT),Live,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2020-02-12 18:18 (EDT),224,83,41%,58,12.74,9.55,324,105.69,,
2020-04-23 17:07 (EDT),On Demand,Emma Lovewell,30,Cycling,Theme,30 min Coldplay Ride,2019-11-21 12:17 (EDT),82,52,40%,44,9.23,4.02,158,99.60,,
2020-04-25 15:22 (EDT),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2019-11-09 12:35 (EDT),657,122,43%,75,16.78,25.17,968,125.24,,
2020-04-27 21:07 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,26,,,
2020-04-29 12:01 (EDT),Live,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2020-01-22 18:19 (EDT),143,63,41%,50,10.99,6.92,179,87.50,,
2020-04-29 16:55 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,64,,,
2020-04-30 10:00 (EDT),Live,Ben Alldis,30,Cycling,Theme,30 min House Ride: Live from Home,2020-04-30 09:55 (EDT),326,181,49%,78,19.78,9.88,358,134.48,,
2020-04-30 10:33 (EDT),On Demand,Olivia Amato,20,Cycling,Low Impact,20 min Low Impact Ride,2020-04-24 09:00 (EDT),39,33,35%,42,7.97,2.66,125,98.86,,
2020-04-30 11:22 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 09:00 (EDT),,,,,,,33,,,
